




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	L2-3 IT All DE Genes.txt (Mus musculus)
Reference List:	L2-3 IT All Expressed Genes.txt (Mus musculus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	FISHER
Correction:	FDR
GO biological process complete	L2-3 IT All Expressed Genes.txt - REFLIST (9465)	L2-3 IT All DE Genes.txt (249)	L2-3 IT All DE Genes.txt (expected)	L2-3 IT All DE Genes.txt (over/under)	L2-3 IT All DE Genes.txt (fold Enrichment)	L2-3 IT All DE Genes.txt (raw P-value)	L2-3 IT All DE Genes.txt (FDR)
regulation of nervous system process (GO:0031644)	116	7	3.05	+	2.29	3.86E-02	1.00E00
memory (GO:0007613)	116	7	3.05	+	2.29	3.86E-02	1.00E00
blastocyst development (GO:0001824)	83	5	2.18	+	2.29	7.52E-02	1.00E00
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	133	8	3.50	+	2.29	2.85E-02	1.00E00
regulation of heart rate (GO:0002027)	50	3	1.32	+	2.28	1.54E-01	1.00E00
negative regulation of axonogenesis (GO:0050771)	50	3	1.32	+	2.28	1.54E-01	1.00E00
negative regulation of neurogenesis (GO:0050768)	100	6	2.63	+	2.28	5.47E-02	1.00E00
synaptic vesicle exocytosis (GO:0016079)	50	3	1.32	+	2.28	1.54E-01	1.00E00
regulation of ion transmembrane transporter activity (GO:0032412)	184	11	4.84	+	2.27	1.77E-02	9.36E-01
cell chemotaxis (GO:0060326)	67	4	1.76	+	2.27	1.09E-01	1.00E00
regulation of system process (GO:0044057)	336	20	8.84	+	2.26	9.01E-04	3.74E-01
regulation of circadian rhythm (GO:0042752)	84	5	2.21	+	2.26	7.81E-02	1.00E00
regulation of blood pressure (GO:0008217)	84	5	2.21	+	2.26	7.81E-02	1.00E00
inorganic ion homeostasis (GO:0098771)	269	16	7.08	+	2.26	3.26E-03	5.56E-01
negative regulation of nervous system development (GO:0051961)	101	6	2.66	+	2.26	5.68E-02	1.00E00
regulation of protein localization to cell periphery (GO:1904375)	101	6	2.66	+	2.26	5.68E-02	1.00E00
regulation of epithelial cell migration (GO:0010632)	135	8	3.55	+	2.25	3.06E-02	1.00E00
negative regulation of locomotion (GO:0040013)	203	12	5.34	+	2.25	1.29E-02	8.26E-01
metal ion homeostasis (GO:0055065)	220	13	5.79	+	2.25	9.16E-03	7.61E-01
positive regulation of ion transmembrane transporter activity (GO:0032414)	85	5	2.24	+	2.24	8.10E-02	1.00E00
positive regulation of ion transmembrane transport (GO:0034767)	119	7	3.13	+	2.24	4.31E-02	1.00E00
positive regulation of cell morphogenesis involved in differentiation (GO:0010770)	85	5	2.24	+	2.24	8.10E-02	1.00E00
cerebellar cortex development (GO:0021695)	51	3	1.34	+	2.24	1.60E-01	1.00E00
negative regulation of proteolysis involved in protein catabolic process (GO:1903051)	51	3	1.34	+	2.24	1.60E-01	1.00E00
positive regulation of glycoprotein metabolic process (GO:1903020)	17	1	.45	+	2.24	3.74E-01	1.00E00
regulation of fatty acid metabolic process (GO:0019217)	51	3	1.34	+	2.24	1.60E-01	1.00E00
leukocyte mediated cytotoxicity (GO:0001909)	17	1	.45	+	2.24	3.74E-01	1.00E00
regulation of epidermal growth factor-activated receptor activity (GO:0007176)	17	1	.45	+	2.24	3.74E-01	1.00E00
viral release from host cell (GO:0019076)	17	1	.45	+	2.24	3.74E-01	1.00E00
negative regulation of organic acid transport (GO:0032891)	17	1	.45	+	2.24	3.74E-01	1.00E00
columnar/cuboidal epithelial cell development (GO:0002066)	17	1	.45	+	2.24	3.74E-01	1.00E00
branching involved in blood vessel morphogenesis (GO:0001569)	17	1	.45	+	2.24	3.74E-01	1.00E00
regulation of endothelial cell apoptotic process (GO:2000351)	17	1	.45	+	2.24	3.74E-01	1.00E00
T cell selection (GO:0045058)	17	1	.45	+	2.24	3.74E-01	1.00E00
negative regulation of neural precursor cell proliferation (GO:2000178)	17	1	.45	+	2.24	3.74E-01	1.00E00
negative regulation of type I interferon production (GO:0032480)	17	1	.45	+	2.24	3.74E-01	1.00E00
positive regulation of cytokinesis (GO:0032467)	17	1	.45	+	2.24	3.74E-01	1.00E00
positive regulation of chromosome separation (GO:1905820)	17	1	.45	+	2.24	3.74E-01	1.00E00
cellular response to fibroblast growth factor stimulus (GO:0044344)	34	2	.89	+	2.24	2.35E-01	1.00E00
regulation of stem cell population maintenance (GO:2000036)	51	3	1.34	+	2.24	1.60E-01	1.00E00
positive regulation of stress fiber assembly (GO:0051496)	34	2	.89	+	2.24	2.35E-01	1.00E00
regulation of postsynaptic neurotransmitter receptor activity (GO:0098962)	17	1	.45	+	2.24	3.74E-01	1.00E00
regulation of establishment of planar polarity (GO:0090175)	17	1	.45	+	2.24	3.74E-01	1.00E00
embryonic axis specification (GO:0000578)	17	1	.45	+	2.24	3.74E-01	1.00E00
regulation of postsynaptic specialization assembly (GO:0099150)	17	1	.45	+	2.24	3.74E-01	1.00E00
exit from host cell (GO:0035891)	17	1	.45	+	2.24	3.74E-01	1.00E00
endoplasmic reticulum unfolded protein response (GO:0030968)	34	2	.89	+	2.24	2.35E-01	1.00E00
regulation of mRNA polyadenylation (GO:1900363)	17	1	.45	+	2.24	3.74E-01	1.00E00
eating behavior (GO:0042755)	17	1	.45	+	2.24	3.74E-01	1.00E00
vascular endothelial growth factor receptor signaling pathway (GO:0048010)	17	1	.45	+	2.24	3.74E-01	1.00E00
mitochondrial genome maintenance (GO:0000002)	17	1	.45	+	2.24	3.74E-01	1.00E00
neuron projection regeneration (GO:0031102)	17	1	.45	+	2.24	3.74E-01	1.00E00
regulation of cellular response to hypoxia (GO:1900037)	17	1	.45	+	2.24	3.74E-01	1.00E00
positive regulation of BMP signaling pathway (GO:0030513)	17	1	.45	+	2.24	3.74E-01	1.00E00
positive regulation of dendrite development (GO:1900006)	17	1	.45	+	2.24	3.74E-01	1.00E00
cell communication involved in cardiac conduction (GO:0086065)	17	1	.45	+	2.24	3.74E-01	1.00E00
hormone secretion (GO:0046879)	51	3	1.34	+	2.24	1.60E-01	1.00E00
eye photoreceptor cell development (GO:0042462)	17	1	.45	+	2.24	3.74E-01	1.00E00
regulation of fibroblast migration (GO:0010762)	34	2	.89	+	2.24	2.35E-01	1.00E00
positive regulation of cell growth (GO:0030307)	136	8	3.58	+	2.24	3.18E-02	1.00E00
regulation of Rac protein signal transduction (GO:0035020)	17	1	.45	+	2.24	3.74E-01	1.00E00
positive regulation of blood circulation (GO:1903524)	17	1	.45	+	2.24	3.74E-01	1.00E00
regulation of androgen receptor signaling pathway (GO:0060765)	17	1	.45	+	2.24	3.74E-01	1.00E00
lymphocyte migration (GO:0072676)	17	1	.45	+	2.24	3.74E-01	1.00E00
positive regulation of heart contraction (GO:0045823)	17	1	.45	+	2.24	3.74E-01	1.00E00
regulation of cation transmembrane transport (GO:1904062)	239	14	6.29	+	2.23	6.86E-03	6.56E-01
negative regulation of immune system process (GO:0002683)	154	9	4.05	+	2.22	3.83E-02	1.00E00
regulation of developmental growth (GO:0048638)	240	14	6.31	+	2.22	7.02E-03	6.66E-01
negative regulation of mitotic cell cycle (GO:0045930)	120	7	3.16	+	2.22	4.47E-02	1.00E00
positive regulation of growth (GO:0045927)	189	11	4.97	+	2.21	1.92E-02	9.46E-01
postsynapse organization (GO:0099173)	86	5	2.26	+	2.21	8.41E-02	1.00E00
regulation of transmembrane transporter activity (GO:0022898)	190	11	5.00	+	2.20	1.95E-02	9.60E-01
regulation of mRNA catabolic process (GO:0061013)	121	7	3.18	+	2.20	4.63E-02	1.00E00
cellular homeostasis (GO:0019725)	346	20	9.10	+	2.20	1.83E-03	4.69E-01
regulation of neurotransmitter receptor activity (GO:0099601)	52	3	1.37	+	2.19	1.67E-01	1.00E00
receptor localization to synapse (GO:0097120)	52	3	1.37	+	2.19	1.67E-01	1.00E00
inflammatory response (GO:0006954)	139	8	3.66	+	2.19	5.66E-02	1.00E00
response to calcium ion (GO:0051592)	87	5	2.29	+	2.18	8.71E-02	1.00E00
regulation of epithelial cell proliferation (GO:0050678)	174	10	4.58	+	2.18	2.80E-02	1.00E00
circulatory system process (GO:0003013)	209	12	5.50	+	2.18	1.45E-02	8.51E-01
positive regulation of cell-matrix adhesion (GO:0001954)	35	2	.92	+	2.17	2.45E-01	1.00E00
response to fibroblast growth factor (GO:0071774)	35	2	.92	+	2.17	2.45E-01	1.00E00
lens development in camera-type eye (GO:0002088)	35	2	.92	+	2.17	2.45E-01	1.00E00
regulation of response to external stimulus (GO:0032101)	385	22	10.13	+	2.17	1.01E-03	3.72E-01
regulation of defense response to virus (GO:0050688)	35	2	.92	+	2.17	2.45E-01	1.00E00
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	35	2	.92	+	2.17	2.45E-01	1.00E00
adult walking behavior (GO:0007628)	35	2	.92	+	2.17	2.45E-01	1.00E00
establishment of protein localization to endoplasmic reticulum (GO:0072599)	35	2	.92	+	2.17	2.45E-01	1.00E00
positive regulation of cell population proliferation (GO:0008284)	439	25	11.55	+	2.16	4.08E-04	3.01E-01
regulation of ion transport (GO:0043269)	422	24	11.10	+	2.16	5.60E-04	3.55E-01
potassium ion transmembrane transport (GO:0071805)	88	5	2.32	+	2.16	9.03E-02	1.00E00
regulation of axonogenesis (GO:0050770)	141	8	3.71	+	2.16	5.80E-02	1.00E00
muscle system process (GO:0003012)	106	6	2.79	+	2.15	6.78E-02	1.00E00
regulation of pH (GO:0006885)	53	3	1.39	+	2.15	1.73E-01	1.00E00
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	53	3	1.39	+	2.15	1.73E-01	1.00E00
activation of protein kinase activity (GO:0032147)	53	3	1.39	+	2.15	1.73E-01	1.00E00
cation homeostasis (GO:0055080)	265	15	6.97	+	2.15	6.25E-03	6.34E-01
peptidyl-serine modification (GO:0018209)	159	9	4.18	+	2.15	4.11E-02	1.00E00
cellular chemical homeostasis (GO:0055082)	283	16	7.45	+	2.15	4.72E-03	6.09E-01
blood vessel morphogenesis (GO:0048514)	195	11	5.13	+	2.14	2.15E-02	9.61E-01
regulation of membrane potential (GO:0042391)	303	17	7.97	+	2.13	5.65E-03	6.21E-01
regulation of ion transmembrane transport (GO:0034765)	303	17	7.97	+	2.13	5.65E-03	6.15E-01
dendrite development (GO:0016358)	125	7	3.29	+	2.13	8.47E-02	1.00E00
calcium ion homeostasis (GO:0055074)	125	7	3.29	+	2.13	8.47E-02	1.00E00
peptidyl-serine phosphorylation (GO:0018105)	143	8	3.76	+	2.13	5.96E-02	1.00E00
positive regulation of cell projection organization (GO:0031346)	323	18	8.50	+	2.12	4.19E-03	6.19E-01
positive regulation of blood pressure (GO:0045777)	18	1	.47	+	2.11	3.90E-01	1.00E00
developmental maturation (GO:0021700)	162	9	4.26	+	2.11	4.32E-02	1.00E00
vesicle docking involved in exocytosis (GO:0006904)	36	2	.95	+	2.11	2.55E-01	1.00E00
regulation of osteoclast differentiation (GO:0045670)	36	2	.95	+	2.11	2.55E-01	1.00E00
sodium ion transport (GO:0006814)	72	4	1.89	+	2.11	1.30E-01	1.00E00
central nervous system myelination (GO:0022010)	18	1	.47	+	2.11	3.90E-01	1.00E00
positive regulation of neuron migration (GO:2001224)	18	1	.47	+	2.11	3.90E-01	1.00E00
negative regulation of double-strand break repair (GO:2000780)	18	1	.47	+	2.11	3.90E-01	1.00E00
dopamine receptor signaling pathway (GO:0007212)	18	1	.47	+	2.11	3.90E-01	1.00E00
one-carbon metabolic process (GO:0006730)	18	1	.47	+	2.11	3.90E-01	1.00E00
regulation of collagen biosynthetic process (GO:0032965)	18	1	.47	+	2.11	3.90E-01	1.00E00
regulation of activin receptor signaling pathway (GO:0032925)	18	1	.47	+	2.11	3.90E-01	1.00E00
biological phase (GO:0044848)	18	1	.47	+	2.11	3.90E-01	1.00E00
cardiac muscle cell proliferation (GO:0060038)	18	1	.47	+	2.11	3.90E-01	1.00E00
cellular response to transforming growth factor beta stimulus (GO:0071560)	72	4	1.89	+	2.11	1.30E-01	1.00E00
mRNA cis splicing, via spliceosome (GO:0045292)	18	1	.47	+	2.11	3.90E-01	1.00E00
negative regulation of calcium ion transport (GO:0051926)	36	2	.95	+	2.11	2.55E-01	1.00E00
regulation of calcium ion transport (GO:0051924)	144	8	3.79	+	2.11	6.04E-02	1.00E00
branching involved in ureteric bud morphogenesis (GO:0001658)	18	1	.47	+	2.11	3.90E-01	1.00E00
regulation of intracellular steroid hormone receptor signaling pathway (GO:0033143)	54	3	1.42	+	2.11	1.79E-01	1.00E00
cellular response to glucocorticoid stimulus (GO:0071385)	18	1	.47	+	2.11	3.90E-01	1.00E00
cellular response to corticosteroid stimulus (GO:0071384)	18	1	.47	+	2.11	3.90E-01	1.00E00
negative regulation of viral genome replication (GO:0045071)	18	1	.47	+	2.11	3.90E-01	1.00E00
regulation of protein exit from endoplasmic reticulum (GO:0070861)	18	1	.47	+	2.11	3.90E-01	1.00E00
dendrite morphogenesis (GO:0048813)	72	4	1.89	+	2.11	1.30E-01	1.00E00
protein hydroxylation (GO:0018126)	18	1	.47	+	2.11	3.90E-01	1.00E00
regulation of postsynaptic density organization (GO:1905874)	18	1	.47	+	2.11	3.90E-01	1.00E00
regulation of histone H3-K9 methylation (GO:0051570)	18	1	.47	+	2.11	3.90E-01	1.00E00
positive regulation of peptide hormone secretion (GO:0090277)	72	4	1.89	+	2.11	1.30E-01	1.00E00
positive regulation of lipid kinase activity (GO:0090218)	18	1	.47	+	2.11	3.90E-01	1.00E00
regulation of astrocyte differentiation (GO:0048710)	18	1	.47	+	2.11	3.90E-01	1.00E00
negative regulation of lipid transport (GO:0032369)	18	1	.47	+	2.11	3.90E-01	1.00E00
regulation of DNA damage checkpoint (GO:2000001)	18	1	.47	+	2.11	3.90E-01	1.00E00
hormone transport (GO:0009914)	54	3	1.42	+	2.11	1.79E-01	1.00E00
animal organ formation (GO:0048645)	18	1	.47	+	2.11	3.90E-01	1.00E00
pigment cell differentiation (GO:0050931)	18	1	.47	+	2.11	3.90E-01	1.00E00
axon ensheathment in central nervous system (GO:0032291)	18	1	.47	+	2.11	3.90E-01	1.00E00
positive regulation of viral process (GO:0048524)	36	2	.95	+	2.11	2.55E-01	1.00E00
negative regulation of synaptic transmission (GO:0050805)	54	3	1.42	+	2.11	1.79E-01	1.00E00
protein heterooligomerization (GO:0051291)	18	1	.47	+	2.11	3.90E-01	1.00E00
vitamin transport (GO:0051180)	18	1	.47	+	2.11	3.90E-01	1.00E00
mitophagy (GO:0000423)	18	1	.47	+	2.11	3.90E-01	1.00E00
regulation of smooth muscle cell differentiation (GO:0051150)	18	1	.47	+	2.11	3.90E-01	1.00E00
negative regulation of blood vessel endothelial cell migration (GO:0043537)	18	1	.47	+	2.11	3.90E-01	1.00E00
actin filament bundle assembly (GO:0051017)	36	2	.95	+	2.11	2.55E-01	1.00E00
negative regulation of receptor-mediated endocytosis (GO:0048261)	18	1	.47	+	2.11	3.90E-01	1.00E00
midbrain development (GO:0030901)	18	1	.47	+	2.11	3.90E-01	1.00E00
Rac protein signal transduction (GO:0016601)	18	1	.47	+	2.11	3.90E-01	1.00E00
positive regulation of mitochondrial membrane permeability (GO:0035794)	18	1	.47	+	2.11	3.90E-01	1.00E00
regulation of modification of synaptic structure (GO:1905244)	18	1	.47	+	2.11	3.90E-01	1.00E00
positive regulation of B cell proliferation (GO:0030890)	18	1	.47	+	2.11	3.90E-01	1.00E00
locomotory exploration behavior (GO:0035641)	18	1	.47	+	2.11	3.90E-01	1.00E00
histone H2A monoubiquitination (GO:0035518)	18	1	.47	+	2.11	3.90E-01	1.00E00
peroxisomal membrane transport (GO:0015919)	18	1	.47	+	2.11	3.90E-01	1.00E00
negative regulation of cardiac muscle tissue growth (GO:0055022)	18	1	.47	+	2.11	3.90E-01	1.00E00
T cell homeostasis (GO:0043029)	18	1	.47	+	2.11	3.90E-01	1.00E00
pore complex assembly (GO:0046931)	18	1	.47	+	2.11	3.90E-01	1.00E00
regulation of tyrosine phosphorylation of STAT protein (GO:0042509)	18	1	.47	+	2.11	3.90E-01	1.00E00
intracellular steroid hormone receptor signaling pathway (GO:0030518)	36	2	.95	+	2.11	2.55E-01	1.00E00
negative regulation of anion transport (GO:1903792)	18	1	.47	+	2.11	3.90E-01	1.00E00
embryonic hemopoiesis (GO:0035162)	18	1	.47	+	2.11	3.90E-01	1.00E00
alpha-beta T cell activation (GO:0046631)	36	2	.95	+	2.11	2.55E-01	1.00E00
positive regulation of insulin receptor signaling pathway (GO:0046628)	18	1	.47	+	2.11	3.90E-01	1.00E00
regulation of cardiac muscle cell apoptotic process (GO:0010665)	36	2	.95	+	2.11	2.55E-01	1.00E00
regulation of sprouting angiogenesis (GO:1903670)	18	1	.47	+	2.11	3.90E-01	1.00E00
negative regulation of Rho protein signal transduction (GO:0035024)	18	1	.47	+	2.11	3.90E-01	1.00E00
neural retina development (GO:0003407)	36	2	.95	+	2.11	2.55E-01	1.00E00
photoreceptor cell differentiation (GO:0046530)	36	2	.95	+	2.11	2.55E-01	1.00E00
cardiac muscle hypertrophy (GO:0003300)	18	1	.47	+	2.11	3.90E-01	1.00E00
postsynaptic density organization (GO:0097106)	18	1	.47	+	2.11	3.90E-01	1.00E00
negative regulation of heart growth (GO:0061117)	18	1	.47	+	2.11	3.90E-01	1.00E00
negative regulation of leukocyte mediated immunity (GO:0002704)	18	1	.47	+	2.11	3.90E-01	1.00E00
positive regulation of transporter activity (GO:0032411)	90	5	2.37	+	2.11	9.67E-02	1.00E00
regulation of transporter activity (GO:0032409)	198	11	5.21	+	2.11	2.29E-02	9.89E-01
negative regulation of defense response (GO:0031348)	90	5	2.37	+	2.11	9.67E-02	1.00E00
trans-synaptic signaling (GO:0099537)	272	15	7.16	+	2.10	1.16E-02	8.13E-01
reproductive structure development (GO:0048608)	127	7	3.34	+	2.10	8.67E-02	1.00E00
cognition (GO:0050890)	254	14	6.68	+	2.10	9.96E-03	7.56E-01
ameboidal-type cell migration (GO:0001667)	109	6	2.87	+	2.09	7.50E-02	1.00E00
regulation of transmembrane transport (GO:0034762)	364	20	9.58	+	2.09	2.48E-03	4.78E-01
chemical synaptic transmission (GO:0007268)	255	14	6.71	+	2.09	1.02E-02	7.54E-01
anterograde trans-synaptic signaling (GO:0098916)	255	14	6.71	+	2.09	1.02E-02	7.50E-01
positive regulation of peptide secretion (GO:0002793)	73	4	1.92	+	2.08	1.35E-01	1.00E00
innate immune response (GO:0045087)	201	11	5.29	+	2.08	2.44E-02	1.00E00
signal release (GO:0023061)	128	7	3.37	+	2.08	8.78E-02	1.00E00
protein autoubiquitination (GO:0051865)	55	3	1.45	+	2.07	1.86E-01	1.00E00
protein localization to endoplasmic reticulum (GO:0070972)	55	3	1.45	+	2.07	1.86E-01	1.00E00
cellular response to calcium ion (GO:0071277)	55	3	1.45	+	2.07	1.86E-01	1.00E00
synaptic vesicle cycle (GO:0099504)	110	6	2.89	+	2.07	7.74E-02	1.00E00
autophagosome assembly (GO:0000045)	55	3	1.45	+	2.07	1.86E-01	1.00E00
visual learning (GO:0008542)	55	3	1.45	+	2.07	1.86E-01	1.00E00
cellular cation homeostasis (GO:0030003)	220	12	5.79	+	2.07	1.86E-02	9.34E-01
muscle tissue development (GO:0060537)	165	9	4.34	+	2.07	4.55E-02	1.00E00
positive regulation of cell migration (GO:0030335)	276	15	7.26	+	2.07	1.21E-02	8.27E-01
anatomical structure maturation (GO:0071695)	129	7	3.39	+	2.06	8.89E-02	1.00E00
regulation of proteolysis involved in protein catabolic process (GO:1903050)	166	9	4.37	+	2.06	4.63E-02	1.00E00
proton transmembrane transport (GO:1902600)	37	2	.97	+	2.05	2.64E-01	1.00E00
cellular response to interferon-gamma (GO:0071346)	37	2	.97	+	2.05	2.64E-01	1.00E00
spindle localization (GO:0051653)	37	2	.97	+	2.05	2.64E-01	1.00E00
protein destabilization (GO:0031648)	37	2	.97	+	2.05	2.64E-01	1.00E00
regulation of protein localization to membrane (GO:1905475)	148	8	3.89	+	2.05	6.42E-02	1.00E00
actin filament bundle organization (GO:0061572)	37	2	.97	+	2.05	2.64E-01	1.00E00
regulation of striated muscle cell apoptotic process (GO:0010662)	37	2	.97	+	2.05	2.64E-01	1.00E00
protein localization to nucleus (GO:0034504)	148	8	3.89	+	2.05	6.42E-02	1.00E00
protein localization to postsynaptic membrane (GO:1903539)	37	2	.97	+	2.05	2.64E-01	1.00E00
reproductive system development (GO:0061458)	130	7	3.42	+	2.05	9.01E-02	1.00E00
cellular divalent inorganic cation homeostasis (GO:0072503)	130	7	3.42	+	2.05	9.01E-02	1.00E00
regulation of neuron projection development (GO:0010975)	409	22	10.76	+	2.04	2.48E-03	4.84E-01
regulation of synapse assembly (GO:0051963)	93	5	2.45	+	2.04	1.07E-01	1.00E00
vascular process in circulatory system (GO:0003018)	112	6	2.95	+	2.04	1.28E-01	1.00E00
single fertilization (GO:0007338)	56	3	1.47	+	2.04	1.92E-01	1.00E00
positive regulation of mitotic cell cycle phase transition (GO:1901992)	56	3	1.47	+	2.04	1.92E-01	1.00E00
peptidyl-threonine phosphorylation (GO:0018107)	56	3	1.47	+	2.04	1.92E-01	1.00E00
positive regulation of dendrite morphogenesis (GO:0050775)	56	3	1.47	+	2.04	1.92E-01	1.00E00
regulation of calcium ion transmembrane transporter activity (GO:1901019)	56	3	1.47	+	2.04	1.92E-01	1.00E00
negative regulation of neuron projection development (GO:0010977)	112	6	2.95	+	2.04	1.28E-01	1.00E00
positive regulation of calcium ion transmembrane transport (GO:1904427)	56	3	1.47	+	2.04	1.92E-01	1.00E00
positive regulation of macroautophagy (GO:0016239)	56	3	1.47	+	2.04	1.92E-01	1.00E00
regulation of regulated secretory pathway (GO:1903305)	112	6	2.95	+	2.04	1.28E-01	1.00E00
synaptic signaling (GO:0099536)	299	16	7.87	+	2.03	9.44E-03	7.30E-01
positive regulation of phosphorylation (GO:0042327)	431	23	11.34	+	2.03	1.90E-03	4.69E-01
synapse assembly (GO:0007416)	75	4	1.97	+	2.03	1.44E-01	1.00E00
activation of immune response (GO:0002253)	75	4	1.97	+	2.03	1.44E-01	1.00E00
negative regulation of cell projection organization (GO:0031345)	150	8	3.95	+	2.03	6.63E-02	1.00E00
epithelial cell differentiation (GO:0030855)	225	12	5.92	+	2.03	2.09E-02	9.43E-01
positive regulation of cell motility (GO:2000147)	283	15	7.45	+	2.01	1.33E-02	8.31E-01
negative regulation of DNA repair (GO:0045738)	19	1	.50	+	2.00	4.05E-01	1.00E00
regulation of neutrophil migration (GO:1902622)	19	1	.50	+	2.00	4.05E-01	1.00E00
unsaturated fatty acid metabolic process (GO:0033559)	19	1	.50	+	2.00	4.05E-01	1.00E00
vasculature development (GO:0001944)	266	14	7.00	+	2.00	1.84E-02	9.43E-01
regulation of leukocyte mediated cytotoxicity (GO:0001910)	19	1	.50	+	2.00	4.05E-01	1.00E00
acyl-CoA biosynthetic process (GO:0071616)	19	1	.50	+	2.00	4.05E-01	1.00E00
response to amino acid starvation (GO:1990928)	38	2	1.00	+	2.00	2.74E-01	1.00E00
morphogenesis of a polarized epithelium (GO:0001738)	38	2	1.00	+	2.00	2.74E-01	1.00E00
cell fate specification (GO:0001708)	19	1	.50	+	2.00	4.05E-01	1.00E00
neurotrophin signaling pathway (GO:0038179)	19	1	.50	+	2.00	4.05E-01	1.00E00
response to transforming growth factor beta (GO:0071559)	76	4	2.00	+	2.00	1.49E-01	1.00E00
