




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	Micro-PVM All DE Genes.txt (Mus musculus)
Reference List:	Micro-PVM All Expressed Genes.txt (Mus musculus)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Micro-PVM All Expressed Genes.txt - REFLIST (4751)	Micro-PVM All DE Genes.txt (40)	Micro-PVM All DE Genes.txt (expected)	Micro-PVM All DE Genes.txt (over/under)	Micro-PVM All DE Genes.txt (fold Enrichment)	Micro-PVM All DE Genes.txt (raw P-value)	Micro-PVM All DE Genes.txt (FDR)
activation of immune response (GO:0002253)	83	1	.70	+	1.43	5.09E-01	1.00E00
immune effector process (GO:0002252)	119	0	1.00	-	 < 0.01	6.26E-01	1.00E00
organ or tissue specific immune response (GO:0002251)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
adaptive immune response (GO:0002250)	92	0	.77	-	 < 0.01	1.00E00	1.00E00
positive regulation of monocyte chemotactic protein-1 production (GO:0071639)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of monocyte chemotactic protein-1 production (GO:0071638)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of monocyte chemotactic protein-1 production (GO:0071637)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of transforming growth factor beta production (GO:0071636)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of transforming growth factor beta production (GO:0071635)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of transforming growth factor beta production (GO:0071634)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
nuclear protein quality control by the ubiquitin-proteasome system (GO:0071630)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
toxin transport (GO:1901998)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
NLS-bearing protein import into nucleus (GO:0006607)	4	1	.03	+	29.69	4.11E-02	1.00E00
protein import into nucleus (GO:0006606)	47	1	.40	+	2.53	3.33E-01	1.00E00
protein targeting (GO:0006605)	96	0	.81	-	 < 0.01	1.00E00	1.00E00
negative regulation of meiotic cell cycle phase transition (GO:1901994)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphocreatine metabolic process (GO:0006603)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of meiotic cell cycle phase transition (GO:1901993)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of mitotic cell cycle phase transition (GO:1901992)	39	0	.33	-	 < 0.01	1.00E00	1.00E00
creatine biosynthetic process (GO:0006601)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of mitotic cell cycle phase transition (GO:1901991)	50	0	.42	-	 < 0.01	1.00E00	1.00E00
lymphocyte anergy (GO:0002249)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
creatine metabolic process (GO:0006600)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of mitotic cell cycle phase transition (GO:1901990)	122	1	1.03	-	.97	1.00E00	1.00E00
connective tissue replacement involved in inflammatory response wound healing (GO:0002248)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
wound healing involved in inflammatory response (GO:0002246)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
hematopoietic progenitor cell differentiation (GO:0002244)	50	0	.42	-	 < 0.01	1.00E00	1.00E00
mastication (GO:0071626)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
vocalization behavior (GO:0071625)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of granulocyte chemotaxis (GO:0071624)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
negative regulation of granulocyte chemotaxis (GO:0071623)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of granulocyte chemotaxis (GO:0071622)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
granulocyte chemotaxis (GO:0071621)	26	1	.22	+	4.57	2.03E-01	1.00E00
phosphorylation of RNA polymerase II C-terminal domain serine 5 residues (GO:0071620)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell cycle phase transition (GO:1901989)	46	0	.39	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell cycle phase transition (GO:1901988)	64	0	.54	-	 < 0.01	1.00E00	1.00E00
regulation of cell cycle phase transition (GO:1901987)	145	1	1.22	-	.82	1.00E00	1.00E00
positive regulation of protein acetylation (GO:1901985)	23	0	.19	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein acetylation (GO:1901984)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of protein acetylation (GO:1901983)	41	0	.35	-	 < 0.01	1.00E00	1.00E00
positive regulation of inward rectifier potassium channel activity (GO:1901980)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to molecule of fungal origin (GO:0002238)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to molecule of bacterial origin (GO:0002237)	93	1	.78	+	1.28	5.49E-01	1.00E00
leukocyte chemotaxis involved in inflammatory response (GO:0002232)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of defense response to virus by host (GO:0002230)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
phosphorylation of RNA polymerase II C-terminal domain serine 2 residues (GO:0071619)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
acyl-CoA biosynthetic process (GO:0071616)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of inward rectifier potassium channel activity (GO:1901979)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell cycle checkpoint (GO:1901978)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell cycle checkpoint (GO:1901977)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
peptidyl-aspartic acid autophosphorylation (GO:1990938)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cell cycle checkpoint (GO:1901976)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
positive regulation of mitotic sister chromatid separation (GO:1901970)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
natural killer cell mediated immunity (GO:0002228)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
innate immune response in mucosa (GO:0002227)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
toll-like receptor signaling pathway (GO:0002224)	29	0	.24	-	 < 0.01	1.00E00	1.00E00
stimulatory C-type lectin receptor signaling pathway (GO:0002223)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
stimulatory killer cell immunoglobulin-like receptor signaling pathway (GO:0002222)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pattern recognition receptor signaling pathway (GO:0002221)	39	0	.33	-	 < 0.01	1.00E00	1.00E00
innate immune response activating cell surface receptor signaling pathway (GO:0002220)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
transforming growth factor beta production (GO:0071604)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
phytosphingosine biosynthetic process (GO:0071602)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
otic vesicle morphogenesis (GO:0071600)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to amino acid starvation (GO:1990928)	23	0	.19	-	 < 0.01	1.00E00	1.00E00
calcium ion regulated lysosome exocytosis (GO:1990927)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
short-term synaptic potentiation (GO:1990926)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cell proliferation involved in outflow tract morphogenesis (GO:1901963)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
activation of innate immune response (GO:0002218)	23	0	.19	-	 < 0.01	1.00E00	1.00E00
defense response to nematode (GO:0002215)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
putrescine biosynthetic process from arginine, using agmatinase (GO:0033389)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
putrescine biosynthetic process from arginine (GO:0033388)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
putrescine biosynthetic process from ornithine (GO:0033387)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
double-strand break repair involved in meiotic recombination (GO:1990918)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of retrograde dense core granule transport (GO:1901956)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
reactive nitrogen species metabolic process (GO:2001057)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of retrograde dense core granule transport (GO:1901954)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of cysteine-type endopeptidase activity (GO:2001056)	49	0	.41	-	 < 0.01	1.00E00	1.00E00
positive regulation of anterograde dense core granule transport (GO:1901953)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of mesenchymal cell apoptotic process (GO:2001054)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of anterograde dense core granule transport (GO:1901951)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of mesenchymal cell apoptotic process (GO:2001053)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
behavioral defense response (GO:0002209)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
dense core granule transport (GO:1901950)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
somatic diversification of immunoglobulins involved in immune response (GO:0002208)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
somatic recombination of immunoglobulin genes involved in immune response (GO:0002204)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
somatic diversification of immune receptors (GO:0002200)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
positive regulation of MHC class II biosynthetic process (GO:0045348)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of MHC class II biosynthetic process (GO:0045347)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of MHC class II biosynthetic process (GO:0045346)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
MHC class II biosynthetic process (GO:0045342)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of integrin-mediated signaling pathway (GO:2001046)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of integrin-mediated signaling pathway (GO:2001045)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of integrin-mediated signaling pathway (GO:2001044)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
reproductive behavior (GO:0019098)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
cellular respiration (GO:0045333)	64	0	.54	-	 < 0.01	1.00E00	1.00E00
phospholipid translocation (GO:0045332)	18	0	.15	-	 < 0.01	1.00E00	1.00E00
protein localization to secretory granule (GO:0033366)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein localization to organelle (GO:0033365)	281	2	2.37	-	.85	1.00E00	1.00E00
mast cell secretory granule organization (GO:0033364)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
secretory granule organization (GO:0033363)	25	0	.21	-	 < 0.01	1.00E00	1.00E00
positive regulation of double-strand break repair via nonhomologous end joining (GO:2001034)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of double-strand break repair via nonhomologous end joining (GO:2001033)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of double-strand break repair via nonhomologous end joining (GO:2001032)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
positive regulation of cellular glucuronidation (GO:2001031)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
late viral transcription (GO:0019086)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
early viral transcription (GO:0019085)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
carnitine biosynthetic process (GO:0045329)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
viral transcription (GO:0019083)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
viral translation (GO:0019081)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
viral gene expression (GO:0019080)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
late endosome to vacuole transport (GO:0045324)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
leukocyte activation (GO:0045321)	214	0	1.80	-	 < 0.01	2.61E-01	1.00E00
S-adenosylmethionine cycle (GO:0033353)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cellular glucuronidation (GO:2001029)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of endothelial cell chemotaxis (GO:2001028)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of endothelial cell chemotaxis (GO:2001026)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of response to drug (GO:2001025)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of response to drug (GO:2001023)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of response to DNA damage stimulus (GO:2001022)	80	0	.67	-	 < 0.01	1.00E00	1.00E00
negative regulation of response to DNA damage stimulus (GO:2001021)	25	0	.21	-	 < 0.01	1.00E00	1.00E00
regulation of response to DNA damage stimulus (GO:2001020)	130	0	1.09	-	 < 0.01	6.27E-01	1.00E00
viral genome replication (GO:0019079)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
viral release from host cell (GO:0019076)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
virus maturation (GO:0019075)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
viral RNA genome packaging (GO:0019074)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
viral genome packaging (GO:0019072)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cholesterol efflux (GO:0033344)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of retrograde axon cargo transport (GO:2001019)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of collagen binding (GO:0033342)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of collagen binding (GO:0033341)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of retrograde axon cargo transport (GO:2001017)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of skeletal muscle cell differentiation (GO:2001016)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of skeletal muscle cell differentiation (GO:2001015)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of skeletal muscle cell differentiation (GO:2001014)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
adenosine 5'-(hexahydrogen pentaphosphate) catabolic process (GO:1901911)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
epithelial cell proliferation involved in renal tubule morphogenesis (GO:2001013)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
adenosine 5'-(hexahydrogen pentaphosphate) metabolic process (GO:1901910)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
virion assembly (GO:0019068)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
receptor-mediated endocytosis of virus by host cell (GO:0019065)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of type IIa hypersensitivity (GO:0001798)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
fusion of virus membrane with host plasma membrane (GO:0019064)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of type IIa hypersensitivity (GO:0001796)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
virion attachment to host cell (GO:0019062)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
type IIa hypersensitivity (GO:0001794)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
centriole replication (GO:0007099)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
centrosome cycle (GO:0007098)	32	0	.27	-	 < 0.01	1.00E00	1.00E00
nuclear migration (GO:0007097)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
regulation of exit from mitosis (GO:0007096)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
mitotic G2 DNA damage checkpoint signaling (GO:0007095)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
mitotic spindle assembly checkpoint signaling (GO:0007094)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
mitotic cell cycle checkpoint signaling (GO:0007093)	36	0	.30	-	 < 0.01	1.00E00	1.00E00
metaphase/anaphase transition of mitotic cell cycle (GO:0007091)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
diadenosine hexaphosphate catabolic process (GO:1901909)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
diadenosine hexaphosphate metabolic process (GO:1901908)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
diadenosine pentaphosphate catabolic process (GO:1901907)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
diadenosine pentaphosphate metabolic process (GO:1901906)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
viral life cycle (GO:0019058)	47	0	.40	-	 < 0.01	1.00E00	1.00E00
antibody-dependent cellular cytotoxicity (GO:0001788)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
modulation by virus of host cellular process (GO:0019054)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
natural killer cell proliferation (GO:0001787)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
suppression by virus of host apoptotic process (GO:0019050)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
B cell apoptotic process (GO:0001783)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
traversing start control point of mitotic cell cycle (GO:0007089)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
B cell homeostasis (GO:0001782)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
regulation of mitotic nuclear division (GO:0007088)	32	0	.27	-	 < 0.01	1.00E00	1.00E00
neutrophil apoptotic process (GO:0001781)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neutrophil homeostasis (GO:0001780)	6	1	.05	+	19.80	5.70E-02	1.00E00
mitotic nuclear membrane reassembly (GO:0007084)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
Leydig cell differentiation (GO:0033327)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
mitotic metaphase plate congression (GO:0007080)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
UDP-D-xylose biosynthetic process (GO:0033320)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
modulation by virus of host process (GO:0019048)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
chromatin looping (GO:0140588)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
release from viral latency (GO:0019046)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
natural killer cell differentiation (GO:0001779)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
latent virus replication (GO:0019045)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
plasma membrane repair (GO:0001778)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
leukocyte homeostasis (GO:0001776)	41	1	.35	+	2.90	2.98E-01	1.00E00
viral latency (GO:0019042)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell activation (GO:0001775)	241	0	2.03	-	 < 0.01	2.65E-01	1.00E00
microglial cell activation (GO:0001774)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
myeloid dendritic cell activation (GO:0001773)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
mitotic chromosome movement towards spindle pole (GO:0007079)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
immunological synapse formation (GO:0001771)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
mitotic chromosome condensation (GO:0007076)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
UDP-D-xylose metabolic process (GO:0033319)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription involved in exit from mitosis (GO:0007072)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitotic DNA replication checkpoint signaling (GO:0033314)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
meiotic cell cycle checkpoint signaling (GO:0033313)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
establishment of T cell polarity (GO:0001768)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
establishment of lymphocyte polarity (GO:0001767)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
metanephric renal vesicle formation (GO:0072093)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
membrane raft polarization (GO:0001766)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ureteric bud invasion (GO:0072092)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
membrane raft assembly (GO:0001765)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of stem cell proliferation (GO:0072091)	26	0	.22	-	 < 0.01	1.00E00	1.00E00
neuron migration (GO:0001764)	60	3	.51	+	5.94	1.51E-02	1.00E00
morphogenesis of a branching structure (GO:0001763)	46	0	.39	-	 < 0.01	1.00E00	1.00E00
extraction of mislocalized protein from mitochondrial outer membrane (GO:0140570)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
beta-alanine transport (GO:0001762)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
primary adaptive immune response involving T cells and B cells (GO:0090721)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
primary adaptive immune response (GO:0090720)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitotic sister chromatid cohesion (GO:0007064)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of sister chromatid cohesion (GO:0007063)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
sister chromatid cohesion (GO:0007062)	18	0	.15	-	 < 0.01	1.00E00	1.00E00
phytol metabolic process (GO:0033306)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
stem cell proliferation (GO:0072089)	24	0	.20	-	 < 0.01	1.00E00	1.00E00
nephron epithelium morphogenesis (GO:0072088)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
extraction of mislocalized protein from ER membrane (GO:0140569)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
renal vesicle development (GO:0072087)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
extraction of mislocalized protein from membrane (GO:0140568)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
organ induction (GO:0001759)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
somitogenesis (GO:0001756)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
neural crest cell migration (GO:0001755)	15	1	.13	+	7.92	1.26E-01	1.00E00
eye photoreceptor cell differentiation (GO:0001754)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
nephron tubule development (GO:0072080)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
immunological memory formation process (GO:0090715)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chromosome segregation (GO:0007059)	72	1	.61	+	1.65	4.60E-01	1.00E00
immunological memory process (GO:0090713)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitotic spindle organization (GO:0007052)	30	0	.25	-	 < 0.01	1.00E00	1.00E00
spindle organization (GO:0007051)	53	0	.45	-	 < 0.01	1.00E00	1.00E00
nephron tubule formation (GO:0072079)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
nephron tubule morphogenesis (GO:0072078)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
renal vesicle morphogenesis (GO:0072077)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
nephrogenic mesenchyme development (GO:0072076)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
metanephric mesenchyme development (GO:0072075)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
kidney mesenchyme development (GO:0072074)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of metanephric mesenchymal cell migration (GO:2000591)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
kidney epithelium development (GO:0072073)	32	0	.27	-	 < 0.01	1.00E00	1.00E00
lens placode formation (GO:0001743)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell cycle (GO:0007049)	411	1	3.46	-	.29	2.54E-01	1.00E00
cell-substrate junction assembly (GO:0007044)	16	1	.13	+	7.42	1.33E-01	1.00E00
cell-cell junction assembly (GO:0007043)	31	2	.26	+	7.66	3.05E-02	1.00E00
lysosomal lumen acidification (GO:0007042)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
lysosomal transport (GO:0007041)	62	0	.52	-	 < 0.01	1.00E00	1.00E00
lysosome organization (GO:0007040)	41	0	.35	-	 < 0.01	1.00E00	1.00E00
regulation of metanephric mesenchymal cell migration (GO:2000589)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
